Name;NameAbbrev;Description;Year;Month;MonthName;Tag;HTMLPage;Empty
Before I Forget;Before I Forget;Debut game from 3-Fold Games. Short first-person narrative exploration about a woman suffering with dementia.;2020;06;Jun;Game;202006BeforeIForget;
If Found;If Found;A game by Dreamfeel, which I did a little bit of art for.;2020;05;May;Game;202005IfFound;
Telescope;Telescope;A game about moving through recursive landscapes.;2020;04;Apr;Prototype;202004Telescope;
Kissy Kissy;Kissy Kissy;A game by Pretty Digital, which I contributed coding and game design to.;2020;03;Mar;Game;202003KissyKissy;
Tower Defense;Tower Defense;A non-combative tower defense game, about growing a garden.;2020;03;Mar;Prototype;202003TowerDefense;
Splodge;Splodge;A claymation game about mending broken objects, made during Global Game Jam 2020.;2020;01;Jan;Game;202001Splodge;
Autumn Light;Autumn Light;A game created for the Meditations project. It is an unusually warm evening for October....;2019;10;Oct;Game;201910AutumnLight;
Bath Spa University: Guest Lecturing;Bath Spa Lecturing;I gave a series of guest lectures on level design, character design and prototyping at Bath Spa University.;2019;10;Oct;Talk;201910BathLecturing;
Bath University Workshop: Bitsy;Bath Uni: Bitsy;A workshop at Bath University on using Bitsy.;2019;10;Oct;Event;201910BathBitsy;
Click Drip;Click Drip;An educational game created at Fuse Jam 3.;2019;10;Oct;Game;201910ClickDrip;
Dark;Dark;A walking game with a black and white art style.;2019;10;Oct;Prototype;;
Fuse Jam #03 Maps & Memories;Fuse Jam #03;A game jam with a physical meetup in Bristol.;2019;10;Oct;Event;;
EGX Panel: Level Design Mysteries;EGX: Level Design Mysteries;A panel about level design, hosted by Mark Drew.;2019;09;Sep;Talk;;
Oxford and London Interactive Fiction Meetup Workshop: Bitsy;IF Meetup Bitsy Workshop;A workshop at the Oxford and London Interactive Fiction Meetup on using Bitsy.;2019;08;Aug;Event;;
Feral Vector Workshop: Marmalade;Feral Vector: Marmalade;A workshop at feral Vector games festival about making spherical games on oranges.;2019;06;Jun;Event;;
Arcadia Talk: Small Tools and Personal Games;Arcadia: Small Tools;A short talk at Arcadia, Dundee titled Small Tools and Personal Games.;2019;05;May;Talk;;
Level Design Podcast;Level Design Podcast;A podcast about level design, hosted by Mark Drew, which I was a guest on.;2019;05;May;Talk;;
Spellgarden;Spellgarden;A board game about growing plants across different timescales.;2019;05;May;Prototype;;
Cave;Cave;A bitsy game inspired by The Tombs of Atuan by Ursula K. Le Guin.;2019;04;Apr;Game;;
EGX Rezzed Panel: Level Design Mysteries;Rezzed: Level Design Mysteries;A panel about level design, hosted by Mark Drew.;2019;04;Apr;Talk;;
Pixels and Prosecco Talk: Small Tools and Personal Games;Pixels and Prosecco: Small Tools;A talk at Pixels and Prosecco, Brighton on using small tools to make small games.;2019;04;Apr;Talk;;
Bath Spa University Game Jam;Bath Spa Uni: Game Jam;A game jam for students at Bath Spa University.;2019;03;Mar;Event;;
The Play Machine;The Play Machine;A game about idea generation and mental blocks.;2019;03;Mar;Prototype;;
Windrush Tales;Windrush Tales;A narrative game about experiences of people from the Windrush generation, which I am contributing programming to.;2019;03;Mar;Prototype;;
V&A Video Games Workshop: Planet Raphael;V&A: Planet Raphael;A workshop for visitors at the V&A museum London about creating collaborative worlds.;2019;02;Feb;Event;;
Spellbound;Spellbound;A game about discovering creatures and plants in a shifting world.;2019;02;Feb;Prototype;;
Grrrl Games Code Club;Grrrl Games Code Club;A series of workshops for girls making games, which I assisted and taught at.;2019;01;Jan;Event;;
Orbit;Orbit;A short game created for Global Game Jam 2019.;2019;01;Jan;Game;;
Alt Play Space;Alt Play Space;A games event in Bristol showcasing locally made and small experimental games.;2018;12;Dec;Event;;
Clatter;Clatter;A game where you move as a collection of skulls through a graveyard.;2018;12;Dec;Prototype;;
Metal Detective;Metal Detective;A game about a robot travelling alone through a future isolated world, looking for artefacts and messages.;2018;12;Dec;Prototype;;
Anura;Anura;A co-op adventure game about frogs with long sticky tongues. Photo/claymation and vocalised sfx.;2018;09;Sep;Prototype;;
Fuse Jam #02 Sounds of the Emocean;Fuse Jam #02;A game jam with a physical meetup in Bristol.;2018;09;Sep;Event;;
Spring Time;Spring Time;A game about a spring.;2018;09;Sep;Prototype;;
